Division,Incumbent,Result,Margin,predProb,predResult,predMargin,predSwing,predWinner,2-Party-Contest
Fremantle,Labor,0.569,0.06899999999999995,0.9962031651013062,0.6488245892329099,0.14882458923290987,0.0798245892329098,Labor,Yes
Berowra,Coalition,0.344,0.15600000000000003,0.9961396936941882,0.31610417898123544,0.18389582101876456,-0.027895821018764425,Coalition,Yes
Groom,Coalition,0.295,0.20500000000000002,0.9996974578292618,0.41445107650262336,0.08554892349737664,0.11945107650262328,Coalition,Yes
Gorton,Labor,0.654,0.15400000000000003,0.9998407844353006,0.7170168176241428,0.21701681762414282,0.063016817624143,Labor,Yes
Chisholm,Coalition,0.494,0.006000000000000005,0.6763741827335468,0.4300434611902182,0.06995653880978181,-0.0639565388097817,Coalition,Yes
Fadden,Coalition,0.358,0.14200000000000002,0.981487609463298,0.3852807083698898,0.11471929163011019,0.027280708369889838,Coalition,Yes
Kingsford Smith,Labor,0.588,0.08799999999999997,0.9882930095433328,0.555426376220625,0.05542637622062496,-0.03257362377937511,Labor,Yes
Fraser,Labor,0.642,0.14200000000000002,0.9996841015534814,0.6644457663719956,0.1644457663719956,0.022445766371995468,Labor,Yes
Swan,Coalition,0.473,0.027000000000000024,0.7732587786894145,0.5460242700034603,0.04602427000346032,0.07302427000346047,Labor,Yes
Barton,Labor,0.594,0.09399999999999997,0.9914977704318317,0.7288356095615233,0.22883560956152327,0.1348356095615231,Labor,Yes
Cunningham,Labor,0.634,0.134,0.9989832278795621,0.6084863842446123,0.10848638424461232,-0.025513615755387794,Labor,Yes
Spence,Labor,0.641,0.14100000000000001,0.9994885352214209,0.7427805262359467,0.2427805262359467,0.10178052623594659,Labor,Yes
Fowler,Labor,0.64,0.14,0.9994349320891145,0.6852268990506023,0.1852268990506023,0.0452268990506024,Labor,Yes
Petrie,Coalition,0.416,0.08400000000000002,0.822644641609062,0.44254403909514556,0.05745596090485444,0.02654403909514553,Coalition,Yes
Fairfax,Coalition,0.366,0.134,0.9777486645892985,0.41548318588021255,0.08451681411978745,0.04948318588021243,Coalition,Yes
Page,Coalition,0.406,0.09399999999999997,0.9298548654146122,0.417393006053795,0.08260699394620502,0.011393006053795061,Coalition,Yes
Scullin,Labor,0.717,0.21699999999999997,0.9999994125528826,0.7259020397215029,0.2259020397215029,0.00890203972150283,Labor,Yes
Hume,Coalition,0.37,0.13,0.9859078308550151,0.33641992562020184,0.16358007437979816,-0.033580074379797986,Coalition,Yes
Banks,Coalition,0.437,0.063,0.774391813097605,0.47118558223182494,0.02881441776817506,0.03418558223182499,Coalition,Yes
Lyne,Coalition,0.348,0.15200000000000002,0.9957895521018825,0.3873784409161459,0.11262155908385407,0.03937844091614601,Coalition,Yes
Wannon,Coalition,0.396,0.10399999999999998,0.947161494930767,0.436106693146076,0.06389330685392403,0.040106693146076074,Coalition,Yes
Lingiari,Labor,0.555,0.05500000000000005,0.93934713986245,0.5905891425266998,0.0905891425266998,0.03558914252669975,Labor,Yes
Kooyong,Coalition,0.443,0.056999999999999995,0.7130838291013814,0.46495980387950203,0.03504019612049797,0.0219598038795022,Coalition,Yes
Dickson,Coalition,0.454,0.045999999999999985,0.5657211170937719,0.4610105316156324,0.03898946838436762,0.007010531615632254,Coalition,Yes
Hasluck,Coalition,0.446,0.05399999999999999,0.5192624032496835,0.6064283638731521,0.10642836387315213,0.16042836387315226,Labor,Yes
Stirling,Coalition,0.444,0.055999999999999994,0.5673462602845298,0.5270787671532063,0.02707876715320634,0.08307876715320649,Labor,Yes
Herbert,Coalition,0.416,0.08400000000000002,0.8435906197766213,0.4705352866946823,0.02946471330531769,0.0545352866946824,Coalition,Yes
La Trobe,Coalition,0.455,0.044999999999999984,0.648092156101568,0.5742474323380586,0.07424743233805864,0.11924743233805854,Labor,Yes
Pearce,Coalition,0.425,0.07500000000000001,0.6328232946789377,0.46559877866463745,0.03440122133536255,0.040598778664637514,Coalition,Yes
Farrer,Coalition,0.0,0.5,1.0,0.011746738078819232,0.4882532619211808,0.011746738078819232,Coalition,Yes
Braddon,Coalition,0.469,0.031000000000000028,0.5677637876797826,0.4849787589469033,0.015021241053096712,0.015978758946903423,Coalition,Yes
Isaacs,Labor,0.564,0.06399999999999995,0.9640558807531336,0.6126490780778975,0.11264907807789748,0.048649078077897416,Labor,Yes
Holt,Labor,0.587,0.08699999999999997,0.9880839501206844,0.6307136511975929,0.13071365119759293,0.04371365119759286,Labor,Yes
Macnamara,Labor,0.562,0.062000000000000055,0.9654360992654856,0.610555800676811,0.11055580067681103,0.04855580067681096,Labor,Yes
Casey,Coalition,0.454,0.045999999999999985,0.676499756934506,0.5555895085011696,0.055589508501169616,0.10158950850116971,Labor,Yes
Gippsland,Coalition,0.333,0.16699999999999998,0.9979985500790542,0.4308938193297633,0.06910618067023672,0.09789381932976352,Coalition,Yes
Capricornia,Coalition,0.376,0.124,0.9647997418333885,0.41832245143476315,0.08167754856523685,0.042322451434763195,Coalition,Yes
Aston,Coalition,0.399,0.10099999999999998,0.933215431299109,0.4267470999116085,0.07325290008839153,0.02774709991160835,Coalition,Yes
Calare,Coalition,0.367,0.133,0.9879242612553654,0.3937151347638225,0.10628486523617747,0.026715134763822482,Coalition,Yes
Canning,Coalition,0.384,0.11599999999999999,0.8768412430514603,0.41805909493396604,0.08194090506603396,0.03405909493396608,Coalition,Yes
Flynn,Coalition,0.413,0.08700000000000002,0.8575383912110083,0.4502329598916887,0.04976704010831129,0.03723295989168896,Coalition,Yes
Goldstein,Coalition,0.422,0.07800000000000001,0.8370526271516193,0.465116480080524,0.034883519919476025,0.04311648008052394,Coalition,Yes
Adelaide,Labor,0.582,0.08199999999999996,0.9844470210596766,0.5508934722123228,0.050893472212322766,-0.031106527787677186,Labor,Yes
Corangamite,Labor,0.511,0.01100000000000001,0.7524016667453015,0.5336359963048295,0.033635996304829496,0.022635996304829594,Labor,Yes
Burt,Labor,0.55,0.050000000000000044,0.9846391831691856,0.5695144976434455,0.06951449764344553,0.019514497643445487,Labor,Yes
Boothby,Coalition,0.486,0.014000000000000012,0.573049415815076,0.4995340728166036,0.0004659271833963863,0.013534072816603624,Coalition,Yes
Flinders,Coalition,0.444,0.055999999999999994,0.7258051162031087,0.4644457032785766,0.035554296721423406,0.020445703278576647,Coalition,Yes
Lalor,Labor,0.624,0.124,0.9986493272198819,0.612513463403582,0.11251346340358204,-0.011486536596417735,Labor,Yes
Blair,Labor,0.512,0.01200000000000001,0.8187666612822757,0.5160676006872178,0.016067600687217798,0.004067600687217898,Labor,Yes
Lyons,Labor,0.552,0.052000000000000046,0.9317979419677123,0.6319675401358752,0.1319675401358752,0.07996754013587527,Labor,Yes
Sydney,Labor,0.687,0.18700000000000006,0.9999891486005676,0.658470792981472,0.15847079298147204,-0.028529207018527902,Labor,Yes
Shortland,Labor,0.544,0.04400000000000004,0.9006543512781864,0.6624186815127154,0.16241868151271543,0.11841868151271527,Labor,Yes
Lindsay,Coalition,0.45,0.04999999999999999,0.7067964070505298,0.39140753857865507,0.10859246142134493,-0.058592461421344916,Coalition,Yes
Menzies,Coalition,0.425,0.07500000000000001,0.8365000713864095,0.40513334473607615,0.09486665526392385,-0.019866655263924057,Coalition,Yes
Hinkler,Coalition,0.355,0.14500000000000002,0.9871038581397311,0.3856401960515356,0.1143598039484644,0.030640196051535735,Coalition,Yes
Parramatta,Labor,0.535,0.03500000000000003,0.8862090643952969,0.6678725209157831,0.16787252091578309,0.13287252091578325,Labor,Yes
Bass,Coalition,0.496,0.0040000000000000036,0.6440539849583105,0.4205012712999667,0.07949872870003333,-0.07549872870003338,Coalition,Yes
Cooper,Labor,0.646,0.14600000000000002,0.9997652532222496,0.6994648049892466,0.19946480498924657,0.05346480498924635,Labor,Yes
Makin,Labor,0.597,0.09699999999999998,0.9918947875964845,0.6919745265746609,0.19197452657466085,0.09497452657466113,Labor,Yes
Macarthur,Labor,0.584,0.08399999999999996,0.9836582623421641,0.6047946074990274,0.10479460749902736,0.0207946074990274,Labor,Yes
Dunkley,Labor,0.527,0.027000000000000024,0.8553879422346129,0.4779654766236533,0.022034523376346704,-0.049034523376346825,Coalition,Yes
Greenway,Labor,0.528,0.028000000000000025,0.8451734428693745,0.5487125916032388,0.04871259160323882,0.020712591603238798,Labor,Yes
Paterson,Labor,0.55,0.050000000000000044,0.9200323274687008,0.5607741633626722,0.06077416336267216,0.010774163362671896,Labor,Yes
Perth,Labor,0.549,0.049000000000000044,0.9883847338832511,0.638908342490553,0.13890834249055295,0.0899083424905528,Labor,Yes
Bruce,Labor,0.642,0.14200000000000002,0.9996100410368469,0.7287852171016915,0.22878521710169153,0.08678521710169175,Labor,Yes
Bennelong,Coalition,0.431,0.069,0.8087743747529665,0.4319426820831606,0.06805731791683939,0.0009426820831606175,Coalition,Yes
North Sydney,Coalition,0.407,0.09300000000000003,0.9120342565316463,0.4698991164633043,0.03010088353669571,0.06289911646330434,Coalition,Yes
Higgins,Coalition,0.461,0.03899999999999998,0.5802043992794303,0.4406777978873695,0.05932220211263051,-0.020322202112630413,Coalition,Yes
Mackellar,Coalition,0.368,0.132,0.9855207065203031,0.4996175672914817,0.0003824327085182877,0.1316175672914817,Coalition,Yes
Mcmahon,Labor,0.566,0.06599999999999995,0.9621294349914995,0.5979616015929475,0.09796160159294753,0.031961601592947364,Labor,Yes
Cowper,Coalition,0.0,0.5,1.0,0.018613083659789233,0.48138691634021075,0.018613083659789233,Coalition,Yes
Curtin,Coalition,0.357,0.14300000000000002,0.9418364100500872,0.4126033492247671,0.0873966507752329,0.055603349224766986,Coalition,Yes
Corio,Labor,0.603,0.10299999999999998,0.9941666236651573,0.5800844993082732,0.08008449930827322,-0.022915500691726542,Labor,Yes
Bean,Labor,0.575,0.07499999999999996,0.9775441620911942,0.6710447018714619,0.17104470187146192,0.09604470187146184,Labor,Yes
Moore,Coalition,0.383,0.11699999999999999,0.8808686451646383,0.42207714869597873,0.07792285130402127,0.039077148695978677,Coalition,Yes
Forrest,Coalition,0.354,0.14600000000000002,0.9705073214140537,0.4195183281202315,0.08048167187976851,0.06551832812023144,Coalition,Yes
New England,Coalition,0.0,0.5,1.0,0.024252884309600247,0.47574711569039974,0.024252884309600247,Coalition,Yes
Dawson,Coalition,0.354,0.14600000000000002,0.9877540890463687,0.40051664248211805,0.09948335751788195,0.046516642482118155,Coalition,Yes
Oxley,Labor,0.564,0.06399999999999995,0.979049863835298,0.5724813626942279,0.07248136269422789,0.008481362694227945,Labor,Yes
Richmond,Labor,0.541,0.041000000000000036,0.889766832469999,0.46548023859442567,0.034519761405574334,-0.07551976140557415,Coalition,Yes
Mitchell,Coalition,0.314,0.186,0.999450840757939,0.37318478987807246,0.12681521012192754,0.059184789878072304,Coalition,Yes
Forde,Coalition,0.414,0.08600000000000002,0.8328504551505127,0.5058411089086831,0.005841108908683057,0.09184110890868301,Labor,Yes
Watson,Labor,0.635,0.135,0.9993284583203983,0.6786293490974041,0.17862934909740413,0.04362934909740414,Labor,Yes
Moreton,Labor,0.519,0.019000000000000017,0.8884532977134578,0.5983422043462747,0.09834220434627472,0.0793422043462747,Labor,Yes
Ballarat,Labor,0.61,0.10999999999999999,0.9967341786119244,0.5240548200911411,0.024054820091141127,-0.08594517990885872,Labor,Yes
Grayndler,Labor,0.663,0.16300000000000003,0.9999172608360011,0.5511816246389413,0.05118162463894127,-0.11181837536105867,Labor,Yes
Leichhardt,Coalition,0.458,0.04199999999999998,0.567229521368819,0.4418668054574249,0.058133194542575095,-0.01613319454257506,Coalition,Yes
Ryan,Coalition,0.44,0.06,0.6720174120052284,0.42507566818820747,0.07492433181179253,-0.014924331811792478,Coalition,Yes
Reid,Coalition,0.468,0.03199999999999997,0.553057007437415,0.43526988416793133,0.06473011583206867,-0.03273011583206875,Coalition,Yes
Kingston,Labor,0.619,0.119,0.999800436021385,0.7252105605052092,0.22521056050520916,0.10621056050520948,Labor,Yes
Durack,Coalition,0.352,0.14800000000000002,0.9730912420326959,0.42908966169383633,0.07091033830616367,0.0770896616938364,Coalition,Yes
Bowman,Coalition,0.398,0.10199999999999998,0.9006895684962216,0.521563953918026,0.021563953918026013,0.12356395391802615,Labor,Yes
Brisbane,Coalition,0.451,0.04899999999999999,0.5563242679216474,0.5292627820318484,0.0292627820318484,0.07826278203184842,Labor,Yes
Longman,Coalition,0.467,0.032999999999999974,0.5042585998240858,0.5437264980397851,0.04372649803978512,0.07672649803978501,Labor,Yes
Whitlam,Labor,0.609,0.10899999999999999,0.9963909552547028,0.600278303978059,0.10027830397805904,-0.00872169602194095,Labor,Yes
Bonner,Coalition,0.426,0.07400000000000001,0.7659244772282425,0.4218478713999341,0.07815212860006587,-0.0041521286000656965,Coalition,Yes
Hotham,Labor,0.559,0.05900000000000005,0.9605908063281778,0.46860784654784765,0.03139215345215235,-0.09039215345215222,Coalition,Yes
McEwen,Labor,0.55,0.050000000000000044,0.9281385572411136,0.6015726716236295,0.10157267162362948,0.05157267162362935,Labor,Yes
Lilley,Labor,0.506,0.006000000000000005,0.8310552530419814,0.5573847219212161,0.05738472192121613,0.05138472192121611,Labor,Yes
Dobell,Labor,0.515,0.015000000000000013,0.7596848112664493,0.5052732474827357,0.005273247482735721,-0.00972675251726407,Labor,Yes
Blaxland,Labor,0.647,0.14700000000000002,0.9997161676634183,0.7574139352905468,0.2574139352905468,0.11041393529054687,Labor,Yes
O'Connor,Coalition,0.355,0.14500000000000002,0.9691400380766757,0.4521066237570235,0.047893376242976515,0.09710662375702338,Coalition,Yes
Cook,Coalition,0.31,0.19,0.9995050623735193,0.31461595854913316,0.18538404145086684,0.0046159585491331034,Coalition,Yes
Tangney,Coalition,0.385,0.11499999999999999,0.8438429061735049,0.5426084065613569,0.04260840656135689,0.157608406561357,Labor,Yes
Wentworth,Coalition,0.0,0.5,1.0,0.026755400008578137,0.4732445999914219,0.026755400008578137,Coalition,Yes
Jagajaga,Labor,0.566,0.06599999999999995,0.9671030501140386,0.528948250874274,0.028948250874273995,-0.03705174912572584,Labor,Yes
Brand,Labor,0.567,0.06699999999999995,0.9938018891181948,0.5327805893259656,0.032780589325965614,-0.03421941067403445,Labor,Yes
Chifley,Labor,0.624,0.124,0.998337361352658,0.6155209982597231,0.11552099825972306,-0.008479001740277048,Labor,Yes
Hunter,Labor,0.53,0.030000000000000027,0.8426211553351549,0.5607308247776297,0.0607308247776297,0.030730824777629662,Labor,Yes
Maribyrnong,Labor,0.612,0.11199999999999999,0.9975806741166513,0.5861859906667466,0.08618599066674659,-0.025814009333253517,Labor,Yes
Wills,Labor,0.582,0.08199999999999996,0.9867083811349474,0.6336539532025335,0.13365395320253348,0.05165395320253353,Labor,Yes
Cowan,Labor,0.508,0.008000000000000007,0.9066925767207232,0.5813635273344843,0.08136352733448426,0.07336352733448447,Labor,Yes
Bradfield,Coalition,0.334,0.16599999999999998,0.9975488822930278,0.3618556474461081,0.1381443525538919,0.02785564744610813,Coalition,Yes
Nicholls,Coalition,0.3,0.2,0.9997983639105714,0.34347542398947745,0.15652457601052255,0.04347542398947766,Coalition,Yes
Fisher,Coalition,0.373,0.127,0.9692111989005707,0.42119287151579216,0.07880712848420784,0.04819287151579211,Coalition,Yes
Deakin,Coalition,0.452,0.04799999999999999,0.6700947335050327,0.4623860378344488,0.037613962165551185,0.010386037834448638,Coalition,Yes
Wright,Coalition,0.352,0.14800000000000002,0.9889697639498494,0.4432779824379561,0.056722017562043925,0.09127798243795628,Coalition,Yes
Griffith,Labor,0.529,0.029000000000000026,0.921954772399773,0.5615775637597087,0.06157756375970869,0.032577563759708654,Labor,Yes
Monash,Coalition,0.426,0.07400000000000001,0.8456451313770282,0.4329990900478192,0.06700090995218078,0.006999090047819126,Coalition,Yes
Eden-Monaro,Labor,0.508,0.008000000000000007,0.7140614100999284,0.5840596258300335,0.08405962583003346,0.07605962583003346,Labor,Yes
Fenner,Labor,0.61,0.10999999999999999,0.9971244538730264,0.6634233588963115,0.16342335889631154,0.05342335889631144,Labor,Yes
Barker,Coalition,0.311,0.189,0.999543186951493,0.22785463548865872,0.2721453645113413,-0.08314536451134127,Coalition,Yes
Mallee,Coalition,0.338,0.16199999999999998,0.9972647062114909,0.37965441850338216,0.12034558149661784,0.04165441850338205,Coalition,Yes
Gilmore,Labor,0.526,0.026000000000000023,0.8225922117916005,0.47481171836980784,0.025188281630192155,-0.05118828163019211,Coalition,Yes
McPherson,Labor,0.622,0.122,0.9990666985016962,0.6983430146208194,0.19834301462081938,0.07634301462081951,Labor,Yes
Wide Bay,Coalition,0.369,0.131,0.9743716917780578,0.33062054344042624,0.16937945655957376,-0.0383794565595737,Coalition,Yes
Moncrieff,Coalition,0.346,0.15400000000000003,0.9920089721777685,0.37745320568765545,0.12254679431234455,0.031453205687655306,Coalition,Yes
Hughes,Coalition,0.402,0.09799999999999998,0.9337157310838334,0.48198089753115936,0.018019102468840642,0.0799808975311593,Coalition,Yes
Grey,Coalition,0.367,0.133,0.9876936667494529,0.41842556495944727,0.08157443504055273,0.05142556495944706,Coalition,Yes
Gellibrand,Labor,0.648,0.14800000000000002,0.9997980968283858,0.6505547788802889,0.1505547788802889,0.002554778880288988,Labor,Yes
Macquarie,Labor,0.502,0.0020000000000000018,0.671944557628943,0.49179636562060586,0.008203634379394142,-0.010203634379394089,Coalition,Yes
Calwell,Labor,0.688,0.18799999999999994,0.9999906479935117,0.7203453641003269,0.2203453641003269,0.03234536410032717,Labor,Yes
Franklin,Labor,0.622,0.122,0.9983877339818837,0.5501181191608052,0.05011811916080522,-0.07188188083919489,Labor,Yes
Werriwa,Labor,0.555,0.05500000000000005,0.9401400294724934,0.533092555713475,0.033092555713475025,-0.021907444286525024,Labor,Yes
Sturt,Coalition,0.431,0.069,0.8062844373441536,0.44665907591619936,0.053340924083800645,0.01565907591619931,Coalition,Yes
Maranoa,Coalition,0.0,0.5,1.0,-0.013983773815939406,0.5139837738159394,-0.013983773815939406,Coalition,Yes
Robertson,Coalition,0.458,0.04199999999999998,0.6681138777230682,0.4928296793250721,0.007170320674927899,0.03482967932507231,Coalition,Yes
Hindmarsh,Labor,0.565,0.06499999999999995,0.9652929179191545,0.5530741258676867,0.05307412586768667,-0.011925874132313385,Labor,Yes
Riverina,Coalition,0.305,0.195,0.9997627122994721,0.3130163315011782,0.1869836684988218,0.008016331501178198,Coalition,Yes
Solomon,Labor,0.531,0.031000000000000028,0.8813267618198228,0.5603420684782356,0.060342068478235644,0.029342068478235495,Labor,Yes
Newcastle,Labor,0.638,0.138,0.9994557849428256,0.6957819074011529,0.19578190740115287,0.05778190740115296,Labor,Yes
Rankin,Labor,0.564,0.06399999999999995,0.979049863835298,0.5699253267511403,0.06992532675114027,0.005925326751140214,Labor,Yes
Canberra,Labor,0.671,0.17100000000000004,0.9999657800669437,0.7183233544387367,0.21832335443873674,0.04732335443873659,Labor,Yes
Parkes,Coalition,0.331,0.16899999999999998,0.9985336763321184,0.3420303721395232,0.1579696278604768,0.011030372139523176,Coalition,Yes
Bendigo,Labor,0.59,0.08999999999999997,0.9881533640265046,0.6206106627894616,0.12061066278946164,0.030610662789461892,Labor,Yes
